text,label,label_name
"i am sure some bashers of pens fans are pretty confused about the lack of any kind of posts about the recent pens massacre of the devils. actually, i am  bit puzzled too and a bit relieved. however, i am going to put an end to non-pittsburghers' relief with a bit of praise for the pens. man, they are killing those devils worse than i thought. jagr just showed you why he is much better than his regular season stats. he is also a lot fo fun to watch in the playoffs. bowman should let jagr have a lot of fun in the next couple of games since the pens are going to beat the pulp out of jersey anyway. i was very disappointed not to see the islanders lose the final regular season game.          pens rule!!!",10,rec.sport.hockey
my brother is in the market for a high-performance video card that supports vesa local bus with 1-2mb ram.  does anyone have suggestions/ideas on:    - diamond stealth pro local bus    - orchid farenheit 1280    - ati graphics ultra pro    - any other high-performance vlb card   please post or email.  thank you!    - matt,3,comp.sys.ibm.pc.hardware
"finally you said what you dream about. mediterranean???? that was new.... 	the area will be ""greater"" after some years, like your ""holocaust"" numbers......     		***** 	is't july in usa now????? here in sweden it's april and still cold. 	or have you changed your calendar???   						    **************** 						    ****************** 			    ***************   	nothing of the mentioned is true, but let say it's true. 	 	shall the azeri women and children going to pay the price with 						    ************** 	being raped, killed and tortured by the armenians?????????? 	 	have you hearded something called: ""geneva convention""??????? 	you facist!!!!!    	ohhh i forgot, this is how armenians fight, nobody has forgot 	you killings, rapings and torture against the kurds and turks once 	upon a time!                  ohhhh so swedish redcross workers do lie they too? what ever you say ""regional killer"", if you don't like the person then shoot him that's your policy.....l   										i 										i 										i 	confused?????								i 										i         search turkish planes? you don't know what you are talking about.	i         turkey's government has announced that it's giving weapons  <-----------i         to azerbadjan since armenia started to attack azerbadjan		         it self, not the karabag province. so why search a plane for weapons	         since it's content is announced to be weapons?     	if there is one that's confused then that's you! we have the right (and we do) 	to give weapons to the azeris, since armenians started the fight in azerbadjan!     	shoot down with what? armenian bread and butter? or the arms and personel  	of the russian army?",17,talk.politics.mideast
think!  it's the scsi card doing the dma transfers not the disks...  the scsi card can do dma transfers containing data from any of the scsi devices it is attached when it wants to.  an important feature of scsi is the ability to detach a device. this frees the scsi bus for other devices. this is typically used in a multi-tasking os to start transfers on several devices. while each device is seeking the data the bus is free for other commands and data transfers. when the devices are ready to transfer the data they can aquire the bus and send the data.  on an ide bus when you start a transfer the bus is busy until the disk has seeked the data and transfered it. this is typically a 10-20ms second lock out for other processes wanting the bus irrespective of transfer time.,3,comp.sys.ibm.pc.hardware
"1)    i have an old jasmine drive which i cannot use with my new system.  my understanding is that i have to upsate the driver with a more modern one in order to gain compatability with system 7.0.1.  does anyone know of an inexpensive program to do this?  ( i have seen formatters for <$20 buit have no idea if they will work)   2)     i have another ancient device, this one a tape drive for which the back utility freezes the system if i try to use it.  the drive is a jasmine direct tape (bought used for $150 w/ 6 tapes, techmar mechanism).  essentially i have the same question as above, anyone know of an inexpensive beckup utility i can use with system 7.0.1",4,comp.sys.mac.hardware
"back in high school i worked as a lab assistant for a bunch of experimental psychologists at bell labs.  when they were doing visual perception and memory experiments, they used vector-type displays, with 1-millisecond refresh rates common.  so your case of 1/200th sec is quite practical, and the experimenters were probably sure that it was 5 milliseconds, not 4 or 6 either.   steve",12,sci.electronics
"ae is in dallas...try 214/241-6060 or 214/241-0055.  tech support may be on their own line, but one of these should get you started.",4,comp.sys.mac.hardware
"[stuff deleted]  ok, here's the solution to your problem.  move to canada.  yesterday i was able to watch four games...the nj-pitt at 1:00 on abc, la-cal at 3:00 (cbc),  buff-bos at 7:00 (tsn and fox), and mon-que at 7:30 (cbc).  i think that if each series goes its max i could be watching hockey playoffs for 40-some odd consecutive nights (i haven't counted so that's a pure guess).  i have two tv's in my house, and i set them up side-by-side to watch mon-que and keep an eye on bos-buff at the same time.  i did the same for the two afternoon games.  btw, those abc commentaters were great!  i was quite impressed; they seemed to know that their audience wasn't likely to be well-schooled in hockey lore and they did an excellent job.  they were quite impartial also, imo.",10,rec.sport.hockey
"yeah, it's the second one.  and i believe that price too.  i've been trying to get a good look at it on the bruin-sabre telecasts, and wow! does it ever look good.  whoever did that paint job knew what they were doing.  and given fuhr's play since he got it, i bet the bruins are wishing he didn't have it:)",10,rec.sport.hockey
"if a christian means someone who believes in the divinity of jesus, it is safe to say that jesus was a christian. -- ""on the first day after christmas my truelove served to me...  leftover turkey! on the second day after christmas my truelove served to me...  turkey casserole     that she made from leftover turkey. [days 3-4 deleted] ...  flaming turkey wings! ...    -- pizza hut commercial (and m*tlu/a*gic bait)",19,talk.religion.misc
"the blood of the lamb.  this will be a hard task, because most cultures used most animals for blood sacrifices. it has to be something related to our current post-modernism state. hmm, what about used computers?  cheers, kent",19,talk.religion.misc
